Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2853,00:01:58.994,20.31398407753548,9.027725856697819,37.17227414330218,14.741952232606438
2854,00:01:59.036,20.452890273451022,8.647092419522327,39.315576323987536,13.396002076843198
2855,00:01:59.077,18.566857043959846,7.723727933541018,34.703271028037385,13.273572170301142
2856,00:01:59.119,18.69465212876428,7.081775700934579,35.16952232606438,13.832658359293873
2857,00:01:59.161,18.156022845275185,6.799584631360332,33.961370716510906,13.70711318795431
2858,00:01:59.202,19.65141917618553,6.932658359293874,37.58011422637591,14.441484942886811
2859,00:01:59.244,20.286535133264106,7.288681204569055,38.0309968847352,15.539927310488059
2860,00:01:59.286,20.819920387677396,8.42705088265836,39.17159916926272,14.86111111111111
2861,00:01:59.328,20.590031152647974,8.19932502596054,39.90020768431983,13.67056074766355
2862,00:01:59.369,21.62890273451021,6.764745586708203,44.739719626168224,13.382242990654206
2863,00:01:59.411,20.586413984077534,5.706853582554517,44.23265835929387,11.819730010384216
2864,00:01:59.453,20.148234683281412,5.03717549325026,42.90576323987539,12.501765316718588
2865,00:01:59.494,20.695292488750432,5.760539979231568,41.381516095534785,14.943821391484942
2866,00:01:59.536,20.07037037037037,6.695430944963655,36.99584631360332,16.51983385254413
2867,00:01:59.578,19.74742125302873,6.850882658359294,36.85768431983385,15.533696780893042
2868,00:01:59.619,20.45164416753202,6.219833852544133,41.07642782969886,14.058670820353063
2869,00:01:59.661,27.234544825199034,7.6083592938733124,55.204309449636554,18.890965732087228
2870,00:01:59.703,30.139390792661818,8.139771547248182,71.42969885773624,10.848701973001038
2871,00:01:59.745,31.14072343371409,9.477310488058151,73.14828660436137,10.79657320872274
2872,00:01:59.786,31.652578746971272,9.44797507788162,75.41142263759086,10.09833852544133
2873,00:01:59.828,28.453634475597095,7.540758047767394,68.17144340602285,9.648701973001039
2874,00:01:59.870,26.762547594323294,6.51251298026999,64.19444444444444,9.580685358255451
2875,00:01:59.911,25.967653167185876,5.867964693665629,62.52461059190031,9.510384215991692
2876,00:01:59.953,25.22400484596746,5.319055036344756,59.37056074766355,10.982398753894081
2877,00:01:59.995,22.735081343025268,4.229595015576324,53.666666666666664,10.308982346832813
2878,00:02:00.037,22.139408099688477,4.165576323987539,50.84776739356179,11.404880581516096
2879,00:02:00.078,19.73418137763932,3.3857217030114226,42.98369678089304,12.8331256490135
2880,00:02:00.120,25.443250259605396,5.7750778816199375,58.608566978193146,11.946105919003115
2881,00:02:00.162,26.5193319487712,7.076998961578401,59.6588785046729,12.822118380062305
2882,00:02:00.203,24.99534440983039,6.00067497403946,55.956334371754934,13.02902388369678
2883,00:02:00.245,23.10472481827622,5.983644859813084,50.095586708203534,13.234942886812046
2884,00:02:00.287,24.74368293527172,6.115680166147456,54.69257528556594,13.422793354101765
2885,00:02:00.329,25.737140879196954,8.117601246105918,56.7656282450675,12.328193146417446
2886,00:02:00.370,23.291571478020074,7.931204569055036,50.460955347871234,11.482554517133956
2887,00:02:00.412,23.591069574247143,9.423260643821392,50.56220145379024,10.787746625129802
2888,00:02:00.454,27.587781239183112,10.443354101765317,61.018743509865004,11.301246105919002
2889,00:02:00.495,25.397213568708896,7.760799584631361,57.466303219106955,10.96453790238837
2890,00:02:00.537,25.188456213222565,6.351505711318795,58.086240913811004,11.127622014537902
2891,00:02:00.579,24.278573901003806,6.117601246105919,56.506230529595015,10.211889927310487
2892,00:02:00.620,23.682502596053997,5.290809968847352,55.67097611630322,10.085721703011423
2893,00:02:00.662,22.264330218068537,4.775908618899273,51.871079958463135,10.146002076843198
2894,00:02:00.704,24.016424368293528,5.769678089304257,55.8238836967809,10.455711318795432
2895,00:02:00.746,26.874766355140185,6.235669781931464,62.98572170301142,11.402907580477674
2896,00:02:00.787,24.177898926964346,4.985669781931464,55.92871235721703,11.619314641744548
2897,00:02:00.829,22.737833160263065,4.184631360332295,52.59626168224299,11.432606438213915
2898,00:02:00.871,23.58196607822776,5.5225856697819315,53.646053997923154,11.577258566978193
2899,00:02:00.912,23.39607130494981,6.556697819314642,52.885617860851504,10.745898234683281
2900,00:02:00.954,23.78906195915542,6.898234683281412,53.63826583592939,10.830685358255451
2901,00:02:00.996,21.946278989269643,6.317808930425753,48.50991692627207,11.011111111111111
2902,00:02:01.038,23.88973693319488,7.255815160955348,52.32943925233645,12.083956386292835
2903,00:02:01.079,22.653288335064037,7.16723779854621,49.126116303219106,11.666510903426792
2904,00:02:01.121,22.861491865697474,8.109968847352025,49.91059190031152,10.563914849428867
2905,00:02:01.163,22.047888542748353,8.266822429906542,47.21002076843198,10.666822429906542
2906,00:02:01.204,25.1739183108342,9.770145379023884,55.07097611630322,10.680633437175493
2907,00:02:01.246,27.517220491519556,10.152855659397716,60.77720664589823,11.621599169262721
2908,00:02:01.288,21.853911388023537,6.778089304257529,47.63644859813084,11.147196261682243
2909,00:02:01.330,22.804205607476636,8.360695742471444,47.658982346832815,12.392938733125648
2910,00:02:01.371,24.341034960193838,9.834319833852543,49.931879543094496,13.256905503634476
2911,00:02:01.413,22.940031152647975,8.012616822429907,47.99688473520249,12.810591900311527
2912,00:02:01.455,24.185808238144688,8.122066458982347,50.63821391484943,13.797144340602285
2913,00:02:01.496,25.23141225337487,7.724350986500519,52.373104880581515,15.596780893042576
2914,00:02:01.538,22.94735202492212,5.752907580477674,46.65404984423676,16.43509865005192
2915,00:02:01.580,24.12265489788854,6.906386292834891,48.825493250259605,16.63608515057113
2916,00:02:01.621,23.759016960886118,7.734008307372793,46.90919003115265,16.633852544132917
2917,00:02:01.663,22.217532017999307,8.00202492211838,42.32990654205607,16.32066458982347
2918,00:02:01.705,19.470820353063342,8.166095534787123,35.28442367601246,14.961941848390447
2919,00:02:01.747,17.480183454482518,8.095846313603323,29.738317757009344,14.606386292834891
2920,00:02:01.788,18.03949463482174,6.9468328141225335,31.508255451713396,15.663395638629284
2921,00:02:01.830,18.733212184146765,4.883644859813084,39.94299065420561,11.373001038421599
2922,00:02:01.872,11.482346832814123,2.2488058151609556,23.879491173416408,8.318743509865005
2923,00:02:01.913,12.685081343025267,3.3084631360332293,22.068743509865005,12.67803738317757
2924,00:02:01.955,21.572499134648666,9.561214953271028,28.64158878504673,26.514693665628243
2925,00:02:01.997,34.70406715126341,21.827310488058153,29.892886812045692,52.39200415368639
2926,00:02:02.039,34.82686050536518,24.234579439252336,25.363239875389407,54.882762201453794
2927,00:02:02.080,28.005694011768778,20.914278296988577,17.476531671858776,45.62627206645898
2928,00:02:02.122,15.304188300449981,13.220820353063344,7.649844236760124,25.04190031152648
2929,00:02:02.164,11.148234683281414,10.35846313603323,2.2474558670820355,20.838785046728972
2930,00:02:02.205,20.729975770162685,19.0690031152648,1.0673935617860852,42.05353063343718
2931,00:02:02.247,0.07239529248875043,0.07305295950155763,0.010903426791277258,0.1332294911734164
2932,00:02:02.289,1.5729491173416408,2.5712357217030113,0.4512980269989616,1.6963136033229491
2933,00:02:02.331,0.017774316372447214,0.024974039460020768,0.006438213914849429,0.021910695742471443
2934,00:02:02.372,0.06476289373485634,0.0926791277258567,0.003894080996884735,0.09771547248182762
2935,00:02:02.414,0.006351678781585324,0.003946002076843198,0.0009345794392523365,0.014174454828660437
2936,00:02:02.456,8.29035998615438,8.140965732087228,0.9343717549325026,15.795742471443406
2937,00:02:02.497,0.3906888196607823,0.3398234683281412,0.20861889927310487,0.6236240913811008
2938,00:02:02.539,0.10517480096919347,0.0569055036344756,0.03385254413291797,0.22476635514018692
2939,00:02:02.581,0.0004153686396677051,0.0,0.0004153686396677051,0.0008307372793354102
2940,00:02:02.622,0.93423329871928,1.060072689511942,0.3567497403946002,1.385877466251298
2941,00:02:02.664,0.00678435444790585,0.013759086188992731,0.0023883696780893043,0.004205607476635514
2942,00:02:02.706,0.3655417099342333,0.24709241952232605,0.1784527518172378,0.6710799584631361
2943,00:02:02.748,0.00046728971962616824,0.0,0.0009345794392523365,0.00046728971962616824
2944,00:02:02.789,4.218224299065421,3.521754932502596,0.7390965732087228,8.393821391484943
2945,00:02:02.831,0.05965732087227415,0.03977154724818276,0.01074766355140187,0.1284527518172378
2946,00:02:02.873,0.005036344755970924,0.00010384215991692627,0.0010384215991692627,0.013966770508826583
2947,00:02:02.914,0.5853236413984078,0.37699896157840085,0.26277258566978196,1.1161993769470404
2948,00:02:02.956,0.9215991692627207,1.7152128764278296,0.2600207684319834,0.7895638629283489
2949,00:02:02.998,0.001574939425406715,0.0005711318795430945,0.0017133956386292835,0.0024402907580477673
2950,00:02:03.040,0.0,0.0,0.0,0.0
2951,00:02:03.081,0.0,0.0,0.0,0.0
2952,00:02:03.123,1.2303911388023536,1.1187435098650051,0.4672897196261682,2.1051401869158877
2953,00:02:03.165,0.030166147455867084,0.02933541017653167,0.00991692627206646,0.05124610591900312
2954,00:02:03.206,0.0002769124264451367,0.00031152647975077883,0.00025960539979231567,0.00025960539979231567
2955,00:02:03.248,0.0,0.0,0.0,0.0
2956,00:02:03.290,1.2401349948078921,1.7337487019730011,0.35939771547248184,1.6272585669781932
2957,00:02:03.332,0.092938733125649,0.06542056074766354,0.040083073727933544,0.17331256490134994
2958,00:02:03.373,0.0001557632398753894,0.00010384215991692627,0.00036344755970924193,0.0
2959,00:02:03.415,0.0,0.0,0.0,0.0
2960,00:02:03.457,1.0734510211145727,1.6872274143302182,0.3397196261682243,1.1934060228452752
2961,00:02:03.498,0.01625129802699896,0.02502596053997923,0.0042575285565939775,0.019470404984423675
2962,00:02:03.540,0.29960193838698507,0.17616822429906542,0.19932502596053997,0.5233125649013499
2963,00:02:03.582,0.009259259259259259,0.00695742471443406,0.00430944963655244,0.016510903426791276
2964,00:02:03.623,0.7855486327448945,1.0958982346832815,0.30124610591900314,0.9595015576323987
2965,00:02:03.665,0.0,0.0,0.0,0.0
2966,00:02:03.707,0.0,0.0,0.0,0.0
2967,00:02:03.749,0.3944271374177916,0.20171339563862928,0.18291796469366564,0.79865005192108
2968,00:02:03.790,0.8696088611976464,1.3388369678089305,0.27320872274143304,0.9967808930425753
2969,00:02:03.832,0.007130494980962271,0.0060228452751817235,0.0048805815160955345,0.010488058151609553
2970,00:02:03.874,0.0,0.0,0.0,0.0
2971,00:02:03.915,0.0,0.0,0.0,0.0
